sr_type,service_label,dept_name,overdue,within_90d,d91_365,d1_2yr,over_2yr,median_days_overdue
BLD-RES,"BUILDING, RESIDENTIAL",CINC BUILDING DEPT,3389.0,439.0,1021.0,1291.0,638.0,420.0
MTL-FRN,"METAL FURNITURE, SPEC COLLECTN",PUBLIC SERVICES,1527.0,1175.0,352.0,0.0,0.0,58.0
BLD_VACR,"BUILDING, VACANT AND OPEN RES",CINC BUILDING DEPT,1030.0,111.0,332.0,347.0,240.0,413.5
CMDVABDV,"VEHICLE, OVERTIME PARKER",PUBLIC SERVICES,583.0,336.0,224.0,23.0,0.0,76.0
CAG_PPDV,"CAGIS PERMITS PLUS, DEV WORK",REGIONAL COMPUTER CENTER,439.0,22.0,85.0,202.0,130.0,661.0
BLD-COM,"BUILDING, COMMERCIAL CBHCODEC",CINC BUILDING DEPT,414.0,23.0,102.0,120.0,169.0,612.5
BLDFRESC,"BUILDING, FIRE ESCAPE INSP",CINC BUILDING DEPT,388.0,0.0,0.0,232.0,156.0,680.5
ZONCCER,"ZONING, CODE ENFORCEMENT RES",CINC BUILDING DEPT,370.0,70.0,154.0,122.0,24.0,266.5
BLDFRFAC,"BUILDING, FACADE/FIRE ESCAPE",CINC BUILDING DEPT,327.0,98.0,87.0,67.0,75.0,288.0
TREEPR,"TREE, DEAD ON PRIV PROP STNDRD",CINC BUILDING DEPT,260.0,72.0,77.0,63.0,48.0,334.5
DASTRAST,DISASTER ASSISTANCE,COMMUNITY DEVELOPMENT,236.0,236.0,0.0,0.0,0.0,42.0
SIDWLKH,"SIDEWALK, REPAIR HAZ",DEPT OF TRANS AND ENG,222.0,9.0,69.0,144.0,0.0,426.0
TRSHCITE,"TRASH, CITATION ISSUED",PUBLIC SERVICES,204.0,163.0,41.0,0.0,0.0,57.0
SVCCMPLT,"SERVICE COMPLAINT, TRASH",PUBLIC SERVICES,195.0,189.0,6.0,0.0,0.0,36.0
CRNCAN-D,"CORNER CAN, DAMAGED",PUBLIC SERVICES,169.0,119.0,50.0,0.0,0.0,72.0
PAVMK,"PAVEMENT MARKINGS, FADED",PUBLIC SERVICES,159.0,53.0,95.0,11.0,0.0,119.0
RCNEWLIC,"RESTAURANT CONSULT, NEW LIC",CINC HEALTH DEPT,157.0,26.0,53.0,54.0,24.0,350.0
CFDANNUL,"FIRE, ANNUAL INSPECTION REQ",FIRE DEPT,156.0,103.0,52.0,1.0,0.0,65.0
PRKNGYRD,"PARKING, GRASS FRONT YD RES",CINC BUILDING DEPT,132.0,0.0,0.0,32.0,100.0,871.0
RWFRNTRT,RIGHT OF WAY- TRASH & DUMPING,PUBLIC SERVICES,132.0,131.0,1.0,0.0,0.0,37.0
STRRPRG,"GENERAL REPAIR, STREET",PUBLIC SERVICES,127.0,39.0,88.0,0.0,0.0,118.0
TRREPR,"TRASH CART, REPAIR",PUBLIC SERVICES,123.0,123.0,0.0,0.0,0.0,32.0
BLD_VACC,"BUILDING, VACANT AND OPEN COM",CINC BUILDING DEPT,111.0,8.0,36.0,27.0,40.0,533.0
