method_received,year,intake,duplicates,evaluable,on_time
311 CALL,2023,32186.0,739.0,31441.0,25867.0
311 CALL,2024,57601.0,1310.0,56280.0,43862.0
311 CALL,2025,61439.0,1856.0,58984.0,39523.0
311 CALL,2026,47264.0,1205.0,42621.0,32713.0
CHAT,2026,5089.0,162.0,4600.0,3027.0
CITY DEPARTMENT,2023,429.0,5.0,424.0,305.0
CITY DEPARTMENT,2024,308.0,0.0,308.0,223.0
CITY DEPARTMENT,2025,398.0,0.0,358.0,255.0
CITY DEPARTMENT,2026,275.0,0.0,86.0,74.0
CSR_API,2024,226.0,18.0,208.0,18.0
EMAIL,2024,536.0,15.0,521.0,399.0
EMAIL,2025,535.0,22.0,507.0,326.0
EMAIL,2026,423.0,7.0,375.0,267.0
INSPECTOR,2023,1977.0,29.0,1947.0,1030.0
INSPECTOR,2024,1094.0,4.0,1090.0,678.0
INSPECTOR,2025,1796.0,3.0,1740.0,1212.0
INSPECTOR,2026,1461.0,31.0,992.0,702.0
INTERNET,2023,55468.0,3115.0,52349.0,36110.0
INTERNET,2024,56778.0,2496.0,54267.0,40931.0
INTERNET,2025,80405.0,4049.0,75040.0,43610.0
INTERNET,2026,59571.0,2923.0,49853.0,37923.0
PHONE,2023,23467.0,620.0,22845.0,17853.0
PHONE,2024,6757.0,173.0,6583.0,4952.0
PHONE,2025,4977.0,122.0,4731.0,3245.0
PHONE,2026,3436.0,105.0,1902.0,1411.0
RADIO,2023,3568.0,23.0,3545.0,3276.0
RADIO,2024,3387.0,25.0,3344.0,3057.0
RADIO,2025,3140.0,26.0,3114.0,2681.0
RADIO,2026,2077.0,15.0,2050.0,1809.0
TROD EMPLOYEE,2023,447.0,12.0,435.0,344.0
