sr_type,service_label,committed_days,stable_commitment,year_month,year,month_number,intake,duplicates,evaluable,on_time,open_overdue,median_days_to_close
311ASSIT,311 ASSISTANCE,1,False,2023-08,2023,8,223.0,0.0,223.0,223.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2023-09,2023,9,1379.0,0.0,1379.0,1379.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2023-10,2023,10,1511.0,0.0,1511.0,1511.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2023-11,2023,11,1303.0,0.0,1303.0,1303.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2023-12,2023,12,815.0,0.0,815.0,815.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2024-01,2024,1,786.0,0.0,786.0,786.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2024-02,2024,2,803.0,0.0,803.0,803.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2024-03,2024,3,547.0,0.0,547.0,547.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2024-04,2024,4,662.0,0.0,662.0,662.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2024-05,2024,5,340.0,0.0,340.0,340.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2024-06,2024,6,272.0,0.0,272.0,272.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2024-07,2024,7,285.0,0.0,285.0,285.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2024-08,2024,8,299.0,0.0,299.0,299.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2024-09,2024,9,225.0,0.0,224.0,224.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2024-10,2024,10,279.0,0.0,279.0,279.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2024-11,2024,11,246.0,0.0,246.0,246.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2024-12,2024,12,180.0,0.0,180.0,180.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2025-01,2025,1,253.0,0.0,253.0,253.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2025-02,2025,2,240.0,0.0,240.0,240.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2025-03,2025,3,281.0,0.0,281.0,281.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2025-04,2025,4,348.0,0.0,348.0,348.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2025-05,2025,5,446.0,0.0,446.0,446.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2025-06,2025,6,413.0,0.0,413.0,413.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2025-07,2025,7,415.0,0.0,415.0,415.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2025-08,2025,8,389.0,0.0,389.0,389.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2025-09,2025,9,372.0,0.0,372.0,372.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2025-10,2025,10,256.0,0.0,256.0,256.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2025-11,2025,11,229.0,0.0,229.0,229.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2025-12,2025,12,173.0,0.0,173.0,173.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2026-01,2026,1,179.0,0.0,179.0,179.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2026-02,2026,2,162.0,0.0,162.0,162.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2026-03,2026,3,136.0,0.0,136.0,136.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2026-04,2026,4,201.0,0.0,201.0,201.0,0.0,0.0
311ASSIT,311 ASSISTANCE,1,False,2026-05,2026,5,24.0,0.0,24.0,24.0,0.0,0.0
