neighborhood,sr_type,service_label,committed_days,intake,evaluable,on_time,median_days_to_close
AVONDALE,BLD-RES,"BUILDING, RESIDENTIAL",365,1181.0,732.0,410.0,70.0
AVONDALE,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,1008.0,855.0,700.0,11.5
AVONDALE,PTHOLE,"POTHOLE, REPAIR",12,628.0,586.0,553.0,2.0
AVONDALE,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,767.0,593.0,491.0,14.0
BOND HILL,BLD-RES,"BUILDING, RESIDENTIAL",365,320.0,206.0,124.0,52.0
BOND HILL,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,325.0,292.0,261.0,5.0
BOND HILL,PTHOLE,"POTHOLE, REPAIR",12,581.0,502.0,483.0,2.0
BOND HILL,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,358.0,253.0,226.0,7.0
CALIFORNIA,PTHOLE,"POTHOLE, REPAIR",12,200.0,180.0,174.0,2.0
CAMP WASHINGTON,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,183.0,159.0,136.0,7.0
CAMP WASHINGTON,PTHOLE,"POTHOLE, REPAIR",12,411.0,377.0,359.0,1.0
CARTHAGE,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,213.0,174.0,140.0,13.0
CARTHAGE,PTHOLE,"POTHOLE, REPAIR",12,202.0,183.0,171.0,2.0
CARTHAGE,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,176.0,123.0,102.0,15.0
CLIFTON,BLD-RES,"BUILDING, RESIDENTIAL",365,276.0,159.0,76.0,25.5
CLIFTON,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,221.0,193.0,165.0,8.0
CLIFTON,PTHOLE,"POTHOLE, REPAIR",12,589.0,535.0,493.0,3.0
CLIFTON,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,186.0,146.0,126.0,8.5
COLLEGE HILL,BLD-RES,"BUILDING, RESIDENTIAL",365,498.0,322.0,161.0,50.0
COLLEGE HILL,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,380.0,315.0,281.0,5.0
COLLEGE HILL,PTHOLE,"POTHOLE, REPAIR",12,1260.0,1177.0,1149.0,2.0
COLLEGE HILL,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,558.0,473.0,435.0,14.0
COLUMBIA TUSCULUM,PTHOLE,"POTHOLE, REPAIR",12,195.0,176.0,163.0,3.0
CORRYVILLE,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,124.0,102.0,90.0,5.5
CORRYVILLE,PTHOLE,"POTHOLE, REPAIR",12,522.0,446.0,394.0,3.0
CUF,BLD-RES,"BUILDING, RESIDENTIAL",365,747.0,491.0,243.0,40.0
CUF,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,1039.0,902.0,823.0,6.0
CUF,PTHOLE,"POTHOLE, REPAIR",12,843.0,731.0,658.0,2.0
CUF,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,667.0,556.0,470.0,16.0
DOWNTOWN,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,199.0,170.0,168.0,4.0
DOWNTOWN,PTHOLE,"POTHOLE, REPAIR",12,822.0,776.0,730.0,2.0
EAST END,PTHOLE,"POTHOLE, REPAIR",12,331.0,278.0,264.0,2.0
EAST END,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,160.0,111.0,90.0,11.5
EAST PRICE HILL,BLD-RES,"BUILDING, RESIDENTIAL",365,1389.0,950.0,445.0,124.0
EAST PRICE HILL,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,1778.0,1410.0,1114.0,9.0
EAST PRICE HILL,PTHOLE,"POTHOLE, REPAIR",12,904.0,811.0,783.0,2.0
EAST PRICE HILL,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,2047.0,1515.0,1228.0,15.0
EAST WALNUT HILLS,BLD-RES,"BUILDING, RESIDENTIAL",365,208.0,120.0,85.0,39.5
EAST WALNUT HILLS,PTHOLE,"POTHOLE, REPAIR",12,233.0,197.0,178.0,3.0
EAST WALNUT HILLS,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,167.0,143.0,130.0,10.5
EAST WESTWOOD,BLD-RES,"BUILDING, RESIDENTIAL",365,245.0,157.0,114.0,27.0
EAST WESTWOOD,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,276.0,233.0,186.0,15.0
EAST WESTWOOD,PTHOLE,"POTHOLE, REPAIR",12,140.0,128.0,122.0,3.0
EAST WESTWOOD,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,165.0,121.0,104.0,14.0
EVANSTON,BLD-RES,"BUILDING, RESIDENTIAL",365,555.0,366.0,168.0,134.5
EVANSTON,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,446.0,395.0,346.0,8.0
EVANSTON,PTHOLE,"POTHOLE, REPAIR",12,523.0,479.0,451.0,3.0
EVANSTON,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,681.0,519.0,424.0,15.0
HARTWELL,BLD-RES,"BUILDING, RESIDENTIAL",365,586.0,436.0,234.0,118.5
HARTWELL,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,366.0,221.0,187.0,3.5
HARTWELL,PTHOLE,"POTHOLE, REPAIR",12,279.0,241.0,220.0,3.0
HARTWELL,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,131.0,107.0,93.0,10.0
HYDE PARK,BLD-RES,"BUILDING, RESIDENTIAL",365,287.0,158.0,103.0,46.5
HYDE PARK,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,114.0,100.0,94.0,5.0
HYDE PARK,PTHOLE,"POTHOLE, REPAIR",12,1133.0,1031.0,983.0,2.0
HYDE PARK,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,184.0,156.0,139.0,9.0
KENNEDY HEIGHTS,BLD-RES,"BUILDING, RESIDENTIAL",365,174.0,119.0,71.0,89.5
KENNEDY HEIGHTS,PTHOLE,"POTHOLE, REPAIR",12,249.0,222.0,202.0,3.0
KENNEDY HEIGHTS,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,158.0,106.0,97.0,14.0
LINWOOD,PTHOLE,"POTHOLE, REPAIR",12,577.0,520.0,466.0,3.0
LOWER PRICE HILL,PTHOLE,"POTHOLE, REPAIR",12,211.0,188.0,173.0,2.0
MADISONVILLE,BLD-RES,"BUILDING, RESIDENTIAL",365,407.0,215.0,118.0,42.0
MADISONVILLE,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,247.0,221.0,191.0,8.0
MADISONVILLE,PTHOLE,"POTHOLE, REPAIR",12,904.0,827.0,785.0,2.0
MADISONVILLE,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,471.0,357.0,313.0,14.0
MT. ADAMS,PTHOLE,"POTHOLE, REPAIR",12,249.0,217.0,202.0,3.0
MT. AIRY,BLD-RES,"BUILDING, RESIDENTIAL",365,427.0,300.0,224.0,111.0
MT. AIRY,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,271.0,226.0,196.0,6.0
MT. AIRY,PTHOLE,"POTHOLE, REPAIR",12,693.0,633.0,570.0,3.0
MT. AIRY,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,206.0,175.0,160.0,14.0
MT. AUBURN,BLD-RES,"BUILDING, RESIDENTIAL",365,333.0,237.0,134.0,52.0
MT. AUBURN,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,301.0,243.0,199.0,10.5
MT. AUBURN,PTHOLE,"POTHOLE, REPAIR",12,271.0,246.0,233.0,2.0
MT. AUBURN,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,301.0,227.0,174.0,16.0
MT. LOOKOUT,PTHOLE,"POTHOLE, REPAIR",12,280.0,253.0,235.0,3.0
MT. WASHINGTON,BLD-RES,"BUILDING, RESIDENTIAL",365,309.0,178.0,131.0,61.0
MT. WASHINGTON,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,171.0,139.0,123.0,3.5
MT. WASHINGTON,PTHOLE,"POTHOLE, REPAIR",12,835.0,726.0,705.0,2.0
MT. WASHINGTON,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,269.0,221.0,198.0,11.5
NORTH AVONDALE - PADDOCK HILLS,BLD-RES,"BUILDING, RESIDENTIAL",365,190.0,124.0,83.0,47.0
NORTH AVONDALE - PADDOCK HILLS,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,141.0,123.0,113.0,5.0
NORTH AVONDALE - PADDOCK HILLS,PTHOLE,"POTHOLE, REPAIR",12,385.0,329.0,282.0,3.0
NORTH AVONDALE - PADDOCK HILLS,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,195.0,132.0,116.0,8.0
NORTH FAIRMOUNT,BLD-RES,"BUILDING, RESIDENTIAL",365,217.0,130.0,60.0,28.0
NORTH FAIRMOUNT,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,265.0,225.0,159.0,17.0
NORTH FAIRMOUNT,PTHOLE,"POTHOLE, REPAIR",12,153.0,146.0,140.0,1.0
NORTH FAIRMOUNT,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,226.0,174.0,129.0,15.5
NORTHSIDE,BLD-RES,"BUILDING, RESIDENTIAL",365,442.0,245.0,135.0,23.5
NORTHSIDE,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,383.0,305.0,272.0,4.5
NORTHSIDE,PTHOLE,"POTHOLE, REPAIR",12,474.0,446.0,415.0,2.0
NORTHSIDE,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,402.0,315.0,284.0,15.0
OAKLEY,BLD-RES,"BUILDING, RESIDENTIAL",365,496.0,264.0,188.0,42.0
OAKLEY,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,289.0,255.0,232.0,6.0
