dept_name,year,intake,evaluable,on_time,open_overdue
CIN WATER WORKS,2023,1022.0,1020.0,849.0,0.0
CIN WATER WORKS,2024,1853.0,1818.0,915.0,0.0
CIN WATER WORKS,2025,2334.0,2266.0,1604.0,0.0
CIN WATER WORKS,2026,2310.0,2090.0,2073.0,3.0
CINC BUILDING DEPT,2023,13682.0,11953.0,6870.0,2025.0
CINC BUILDING DEPT,2024,16201.0,14302.0,10381.0,2167.0
CINC BUILDING DEPT,2025,18203.0,14540.0,10201.0,2468.0
CINC BUILDING DEPT,2026,14538.0,6543.0,5362.0,541.0
CINC HEALTH DEPT,2023,6199.0,6127.0,5254.0,14.0
CINC HEALTH DEPT,2024,5455.0,5406.0,4788.0,114.0
CINC HEALTH DEPT,2025,4513.0,4309.0,3835.0,181.0
CINC HEALTH DEPT,2026,3326.0,954.0,895.0,42.0
CINCINNATI RECREATION,2023,143.0,142.0,27.0,0.0
CINCINNATI RECREATION,2024,245.0,244.0,107.0,0.0
CINCINNATI RECREATION,2025,310.0,310.0,212.0,0.0
CINCINNATI RECREATION,2026,291.0,291.0,278.0,0.0
CITY MANAGER'S OFFICE,2023,6003.0,5950.0,5454.0,73.0
CITY MANAGER'S OFFICE,2024,7060.0,7029.0,6493.0,48.0
CITY MANAGER'S OFFICE,2025,8634.0,8601.0,7221.0,13.0
CITY MANAGER'S OFFICE,2026,6563.0,6511.0,6204.0,37.0
COMMUNITY DEVELOPMENT,2024,974.0,902.0,93.0,0.0
COMMUNITY DEVELOPMENT,2025,4676.0,4312.0,640.0,120.0
COMMUNITY DEVELOPMENT,2026,401.0,369.0,13.0,255.0
DEPT OF TRANS AND ENG,2023,6386.0,6159.0,4106.0,0.0
DEPT OF TRANS AND ENG,2024,7430.0,7002.0,5616.0,112.0
DEPT OF TRANS AND ENG,2025,8919.0,7858.0,6313.0,175.0
DEPT OF TRANS AND ENG,2026,7279.0,5425.0,4783.0,262.0
EMERGENCY COMMUNICATIONS,2023,5399.0,5384.0,5375.0,0.0
EMERGENCY COMMUNICATIONS,2024,5697.0,5675.0,5644.0,0.0
EMERGENCY COMMUNICATIONS,2025,5230.0,5204.0,5187.0,0.0
EMERGENCY COMMUNICATIONS,2026,1227.0,1218.0,1215.0,0.0
ENTERPRISE SERVICES,2023,142.0,142.0,25.0,0.0
FIRE DEPT,2025,564.0,557.0,195.0,11.0
FIRE DEPT,2026,914.0,903.0,227.0,327.0
LAW DEPARTMENT,2023,170.0,170.0,162.0,8.0
LAW DEPARTMENT,2024,123.0,123.0,119.0,4.0
LAW DEPARTMENT,2025,164.0,124.0,124.0,0.0
LAW DEPARTMENT,2026,129.0,0.0,0.0,0.0
METROPOLITAN SEWER,2023,247.0,245.0,96.0,0.0
METROPOLITAN SEWER,2024,172.0,172.0,21.0,0.0
METROPOLITAN SEWER,2025,148.0,147.0,57.0,0.0
METROPOLITAN SEWER,2026,213.0,211.0,108.0,36.0
PARK DEPARTMENT,2023,1677.0,1674.0,1275.0,0.0
PARK DEPARTMENT,2024,2677.0,2676.0,2424.0,0.0
PARK DEPARTMENT,2025,2842.0,2610.0,2315.0,0.0
PARK DEPARTMENT,2026,3190.0,1658.0,1619.0,23.0
POLICE DEPARTMENT,2023,5353.0,5020.0,917.0,0.0
POLICE DEPARTMENT,2024,5102.0,4768.0,2591.0,20.0
POLICE DEPARTMENT,2025,2538.0,2429.0,1359.0,69.0
POLICE DEPARTMENT,2026,1429.0,1341.0,1051.0,128.0
PUBLIC SERVICES,2023,71111.0,68990.0,54357.0,22.0
PUBLIC SERVICES,2024,73073.0,71904.0,54718.0,5.0
PUBLIC SERVICES,2025,93736.0,91303.0,51670.0,82.0
PUBLIC SERVICES,2026,77801.0,74957.0,54106.0,4111.0
REGIONAL COMPUTER CENTER,2024,617.0,571.0,234.0,318.0
REGIONAL COMPUTER CENTER,2026,125.0,65.0,5.0,60.0
